filepath,label_idx,class_name
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/A_0_1120.jpeg,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/4.png,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/A_0_1042.jpeg,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/2.png,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/A_0_1122.jpeg,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/1.png,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/3.png,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ka/A_0_1100.jpeg,3,ka
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/A_0_1005.jpeg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/4.jpg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/A_0_1014.jpeg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/2.jpg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/A_0_1051.jpeg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/1.jpg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/3.jpg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/hallulu/ana/A_0_1035.jpeg,1,ana
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/A_0_1045.jpeg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/4.jpg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/A_0_1095.jpeg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/2.jpg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/A_0_1124.jpeg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/1.jpg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/3.jpg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/Guninthamulu/ana/anoo/A_0_1078.jpeg,2,anoo
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/A_0_1024.jpeg,0,a
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/4.jpg,0,a
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/A_0_1076.jpeg,0,a
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/2.jpg,0,a
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/A_0_1094.jpeg,0,a
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/1.jpg,0,a
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/3.jpg,0,a
/Users/miteshsingh/Documents/projects/telugu-hcr-v3/data_samples/telugu_image_samples/achulu/a/A_0_0.jpeg,0,a
